Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1155056,2011-07-04,2011-07-04,,"I Love You, Man","I Love You, Man",https://www.imdb.com/title/tt1155056/,Movie,7.0,105,2009,"Comedy, Romance",223308,2009-03-20,"John Hamburg",,
2,tt1080016,2011-07-04,2011-07-04,,"Ice Age: Dawn of the Dinosaurs","Ice Age: Dawn of the Dinosaurs",https://www.imdb.com/title/tt1080016/,Movie,6.9,94,2009,"Animation, Adventure, Comedy, Family",280226,2009-07-01,"Carlos Saldanha, Michael Thurmeier",,
3,tt1131734,2011-07-04,2011-07-04,,"Jennifer's Body","Jennifer's Body",https://www.imdb.com/title/tt1131734/,Movie,5.6,102,2009,"Comedy, Horror",165822,2009-09-18,"Karyn Kusama",,
4,tt1188729,2011-07-04,2011-07-04,,"Pandorum","Pandorum",https://www.imdb.com/title/tt1188729/,Movie,6.7,108,2009,"Action, Horror, Mystery, Sci-Fi, Thriller",165720,2009-09-25,"Christian Alvart",10,2016-01-19
5,tt1233227,2011-07-04,2011-07-04,,"Saw VI","Saw VI",https://www.imdb.com/title/tt1233227/,Movie,6.1,90,2009,"Horror, Mystery, Thriller",133177,2009-10-23,"Kevin Greutert",,
6,tt1022603,2011-07-04,2011-07-04,,"500 Days of Summer","(500) Days of Summer",https://www.imdb.com/title/tt1022603/,Movie,7.6,95,2009,"Comedy, Drama, Romance",603449,2009-08-07,"Marc Webb",10,2015-05-06
7,tt0775552,2011-07-04,2011-07-04,,"Aliens in the Attic","Aliens in the Attic",https://www.imdb.com/title/tt0775552/,Movie,5.4,86,2009,"Adventure, Comedy, Family, Fantasy, Sci-Fi",25595,2009-07-31,"John Schultz",,
8,tt0889583,2011-07-04,2011-07-04,,"Brüno","Brüno",https://www.imdb.com/title/tt0889583/,Movie,5.9,81,2009,"Comedy",157232,2009-07-10,"Larry Charles",,
9,tt1407050,2011-07-04,2011-07-04,,"American Pie Presents: The Book of Love","American Pie Presents: The Book of Love",https://www.imdb.com/title/tt1407050/,Video,4.7,93,2009,"Comedy",51441,2009-12-22,"John Putch",,
10,tt0844471,2011-07-04,2011-07-04,,"Cloudy with a Chance of Meatballs","Cloudy with a Chance of Meatballs",https://www.imdb.com/title/tt0844471/,Movie,6.9,90,2009,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",278150,2009-09-18,"Phil Lord, Christopher Miller",,
11,tt1136608,2011-07-04,2011-07-04,,"District 9","District 9",https://www.imdb.com/title/tt1136608/,Movie,7.9,112,2009,"Action, Sci-Fi, Thriller",743068,2009-08-14,"Neill Blomkamp",,
12,tt1059786,2011-07-04,2011-07-04,,"Eagle Eye","Eagle Eye",https://www.imdb.com/title/tt1059786/,Movie,6.6,118,2008,"Action, Mystery, Thriller",199850,2008-09-26,"D.J. Caruso",,
13,tt1225822,2011-07-04,2011-07-04,,"Extract","Extract",https://www.imdb.com/title/tt1225822/,Movie,6.1,92,2009,"Comedy, Crime, Romance",52117,2009-09-04,"Mike Judge",,
14,tt0865556,2011-07-04,2011-07-04,,"The Forbidden Kingdom","The Forbidden Kingdom",https://www.imdb.com/title/tt0865556/,Movie,6.5,104,2008,"Action, Adventure, Fantasy",112518,2008-04-18,"Rob Minkoff",,
15,tt1414361,2011-07-04,2011-07-04,,"Frat Party","Frat Party",https://www.imdb.com/title/tt1414361/,Movie,2.8,90,2009,"Comedy",1981,2010-08-06,"Robert Bennett",,
16,tt0436339,2011-07-04,2011-07-04,,"G-Force","G-Force",https://www.imdb.com/title/tt0436339/,Movie,5.1,88,2009,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",52560,2009-07-24,"Hoyt Yeatman",,
17,tt0373883,2011-07-04,2011-07-04,,"Halloween","Halloween",https://www.imdb.com/title/tt0373883/,Movie,6.1,109,2007,"Horror",136863,2007-08-31,"Rob Zombie",,
18,tt0796366,2011-07-04,2011-07-04,,"Star Trek","Star Trek",https://www.imdb.com/title/tt0796366/,Movie,7.9,127,2009,"Action, Adventure, Sci-Fi",633236,2009-05-08,"J.J. Abrams",,
19,tt0438488,2011-07-04,2011-07-04,,"Terminator Salvation","Terminator Salvation",https://www.imdb.com/title/tt0438488/,Movie,6.5,115,2009,"Action, Adventure, Sci-Fi",388736,2009-05-21,"McG",,
20,tt1119646,2011-07-04,2011-07-04,,"The Hangover","The Hangover",https://www.imdb.com/title/tt1119646/,Movie,7.7,100,2009,"Comedy",906123,2009-06-05,"Todd Phillips",,
21,tt1068680,2011-07-04,2011-07-04,,"Yes Man","Yes Man",https://www.imdb.com/title/tt1068680/,Movie,6.8,104,2008,"Comedy, Romance",399343,2008-12-19,"Peyton Reed",,
22,tt0805570,2011-07-04,2011-07-04,,"The Midnight Meat Train","The Midnight Meat Train",https://www.imdb.com/title/tt0805570/,Movie,6.0,100,2008,"Horror, Mystery, Thriller",74508,2008-10-31,"Ryûhei Kitamura",,
23,tt1142988,2011-07-04,2011-07-04,,"The Ugly Truth","The Ugly Truth",https://www.imdb.com/title/tt1142988/,Movie,6.4,96,2009,"Comedy, Romance",238757,2009-07-24,"Robert Luketic",,
24,tt1265998,2011-07-04,2011-07-04,,"Afro Samurai: Resurrection","Afro Samurai: Resurrection",https://www.imdb.com/title/tt1265998/,TV Movie,7.1,97,2009,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",9913,2009-01-25,"Fuminori Kizaki",,
25,tt0952640,2011-07-04,2011-07-04,,"Alvin and the Chipmunks","Alvin and the Chipmunks",https://www.imdb.com/title/tt0952640/,Movie,5.3,92,2007,"Animation, Adventure, Comedy, Family, Fantasy, Music, Musical",102145,2007-12-14,"Tim Hill",,
26,tt0378194,2011-07-04,2011-07-04,,"Kill Bill: Vol. 2","Kill Bill: Vol. 2",https://www.imdb.com/title/tt0378194/,Movie,8.0,137,2004,"Action, Crime, Thriller",849886,2004-04-16,"Quentin Tarantino",,
27,tt1075417,2011-07-04,2011-07-04,,"Race to Witch Mountain","Race to Witch Mountain",https://www.imdb.com/title/tt1075417/,Movie,5.7,98,2009,"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",65458,2009-03-13,"Andy Fickman",,
28,tt0780521,2011-07-04,2011-07-04,,"The Princess and the Frog","The Princess and the Frog",https://www.imdb.com/title/tt0780521/,Movie,7.2,97,2009,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",181791,2009-12-11,"Ron Clements, John Musker",,
29,tt1095217,2011-07-04,2011-07-04,,"Bad Lieutenant: Port of Call New Orleans","The Bad Lieutenant: Port of Call - New Orleans",https://www.imdb.com/title/tt1095217/,Movie,6.6,122,2009,"Crime, Drama, Mystery",83739,2009-12-11,"Werner Herzog",,
30,tt1477715,2011-07-04,2011-07-04,,"This Is It","This Is It",https://www.imdb.com/title/tt1477715/,Movie,7.2,111,2009,"Documentary, Music",42812,2009-10-28,"Kenny Ortega",,
31,tt1156398,2011-07-04,2011-07-04,,"Zombieland","Zombieland",https://www.imdb.com/title/tt1156398/,Movie,7.5,88,2009,"Action, Comedy, Horror",655160,2009-10-02,"Ruben Fleischer",,
32,tt0458525,2011-07-04,2011-07-04,,"X-Men Origins: Wolverine","X-Men Origins: Wolverine",https://www.imdb.com/title/tt0458525/,Movie,6.5,107,2009,"Action, Sci-Fi",560947,2009-05-01,"Gavin Hood",,
33,tt0343660,2011-07-04,2011-07-04,,"50 First Dates","50 First Dates",https://www.imdb.com/title/tt0343660/,Movie,6.8,99,2004,"Comedy, Drama, Romance",406005,2004-02-13,"Peter Segal",,
34,tt1318044,2011-07-04,2011-07-04,,"American Virgin","American Virgin",https://www.imdb.com/title/tt1318044/,Movie,4.3,88,2009,"Comedy",8407,2010-05-19,"Clare Kilner",,
35,tt0901476,2011-07-04,2011-07-04,,"Bride Wars","Bride Wars",https://www.imdb.com/title/tt0901476/,Movie,5.5,89,2009,"Comedy, Romance",121251,2009-01-09,"Gary Winick",,
36,tt1127180,2011-07-04,2011-07-04,,"Drag Me to Hell","Drag Me to Hell",https://www.imdb.com/title/tt1127180/,Movie,6.6,99,2009,"Horror",227317,2009-05-29,"Sam Raimi",,
37,tt0446059,2011-07-04,2011-07-04,,"Fearless","Huo Yuan Jia",https://www.imdb.com/title/tt0446059/,Movie,7.6,104,2006,"Action, Biography, Drama",80583,2006-09-22,"Ronny Yu",,
38,tt1046173,2011-07-04,2011-07-04,,"G.I. Joe: The Rise of Cobra","G.I. Joe: The Rise of Cobra",https://www.imdb.com/title/tt1046173/,Movie,5.7,118,2009,"Action, Adventure, Sci-Fi, Thriller",219576,2009-08-07,"Stephen Sommers",,
39,tt0462499,2011-07-04,2011-07-04,,"Rambo","Rambo",https://www.imdb.com/title/tt0462499/,Movie,7.0,92,2008,"Action, Thriller",253648,2008-01-25,"Sylvester Stallone",,
40,tt0373051,2011-07-04,2011-07-04,,"Journey to the Center of the Earth","Journey to the Center of the Earth",https://www.imdb.com/title/tt0373051/,Movie,5.8,93,2008,"Action, Adventure, Family, Fantasy, Sci-Fi",138408,2008-07-11,"Eric Brevig",10,2016-01-03
41,tt0902272,2011-07-04,2011-07-04,,"Justice League: The New Frontier","Justice League: The New Frontier",https://www.imdb.com/title/tt0902272/,Video,6.9,75,2008,"Animation, Action, Adventure, Fantasy, Sci-Fi",22284,2008-02-26,"Dave Bullock",,
42,tt0839980,2011-07-04,2011-07-04,,"Semi-Pro","Semi-Pro",https://www.imdb.com/title/tt0839980/,Movie,5.8,91,2008,"Comedy, Sport",88525,2008-02-29,"Kent Alterman",,
43,tt0986263,2011-07-04,2011-07-04,,"Surrogates","Surrogates",https://www.imdb.com/title/tt0986263/,Movie,6.3,89,2009,"Action, Sci-Fi, Thriller",183784,2009-09-25,"Jonathan Mostow",10,2015-03-28
44,tt0949731,2011-07-04,2011-07-04,,"The Happening","The Happening",https://www.imdb.com/title/tt0949731/,Movie,5.0,91,2008,"Adventure, Drama, Sci-Fi, Thriller",224698,2008-06-13,"M. Night Shyamalan",10,2018-05-16
45,tt1083456,2011-07-04,2011-07-04,,"Fired Up!","Fired Up!",https://www.imdb.com/title/tt1083456/,Movie,6.1,90,2009,"Comedy, Sport",47317,2009-02-20,"Will Gluck",,
46,tt0494238,2011-07-04,2011-07-04,,"Inkheart","Inkheart",https://www.imdb.com/title/tt0494238/,Movie,6.1,106,2008,"Adventure, Family, Fantasy",84682,2009-01-23,"Iain Softley",,
47,tt0910936,2011-07-04,2011-07-04,,"Pineapple Express","Pineapple Express",https://www.imdb.com/title/tt0910936/,Movie,6.9,111,2008,"Action, Comedy, Crime",368865,2008-08-06,"David Gordon Green",,
48,tt1135985,2011-07-04,2011-07-04,,"Sex Drive","Sex Drive",https://www.imdb.com/title/tt1135985/,Movie,6.5,109,2008,"Comedy, Romance",95072,2008-10-17,"Sean Anders",,
49,tt0942385,2011-07-04,2011-07-04,,"Tropic Thunder","Tropic Thunder",https://www.imdb.com/title/tt0942385/,Movie,7.1,107,2008,"Action, Comedy, War",478531,2008-08-13,"Ben Stiller",,
